pesticide,microorganism,evidence_type,evidence_type_original,evidence_type_mapping_note,enzyme_class,reported_protein_name,pesticidedb_protein_id,gene_name,ncbi_accession,ncbi_protein_accession,year,doi,collection_category,uniprot_accession,pubmed_id,source_title,curation_notes,already_in_current_master_exact_accession
Atrazine,Pseudomonas sp. (strain ADP),Gene Only,Publication-linked enzyme record; manual verification required,Conservative mapping: publication-linked record without clear purified or whole-cell activity wording.,Hydrolase,1-carboxybiuret hydrolase subunit AtzE (EC 3.5.1.131),,atzE,,WP_011117192.1,2001,10.1128/JB.183.19.5684-5697.2001,SUPPLEMENTED,Q936X3,11544232; 29523689,Complete nucleotide sequence and organization of the atrazine catabolic plasmid pADP-1 from Pseudomonas sp. strain ADP.,Imported from UniProt query 'gene:atzE AND atrazine'. UniProt reviewed status: reviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO
Atrazine,Pseudomonas aeruginosa,Gene Only + whole-cell/ Crude,Publication-linked enzyme record; manual verification required,Publication links gene evidence with whole-cell degradation.,Hydrolase,Allophanate hydrolase,,atzF,,,2014,10.1007/s11356-014-3316-7,SUPPLEMENTED,A0A075T4Y4,25035056,Isolation and characterization of a Pseudomonas aeruginosa from a virgin Brazilian Amazon region with potential to degrade atrazine.,Imported from UniProt query 'gene:atzF AND atrazine'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO
Atrazine,Pseudomonas sp. (strain ADP),Gene Only,Publication-linked enzyme record; manual verification required,Conservative mapping: publication-linked record without clear purified or whole-cell activity wording.,Hydrolase,Allophanate hydrolase (EC 3.5.1.54),,atzF,,WP_011117193.1,2001,10.1128/JB.183.19.5684-5697.2001,SUPPLEMENTED,Q936X2,11544232; 15901697,Complete nucleotide sequence and organization of the atrazine catabolic plasmid pADP-1 from Pseudomonas sp. strain ADP.,Imported from UniProt query 'gene:atzF AND atrazine'. UniProt reviewed status: reviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO
Atrazine,Nocardioides sp. SP12,Gene Only + whole-cell/ Crude,Gene detection / degradation strain characterization,Direct mapping from supplemental label: Gene detection / degradation strain characterization,Hydrolase,Atrazine hydrolase,,trzN,,,2003,10.1016/S0378-1097(03)00168-X,SUPPLEMENTED,Q83ZG4,12694918,"Isolation and characterisation of Nocardioides sp. SP12, an atrazine-degrading bacterial strain possessing the gene trzN from bulk- and maize rhizosphere soil.",Experimentally isolated atrazine-degrading strain possessing trzN; manually verify sequence accession before import.,NO
Atrazine / simazine,Arthrobacter sp. SD41,Gene Only + whole-cell/ Crude,Publication-linked enzyme record; manual verification required,Publication links gene evidence with whole-cell degradation.,Hydrolase,Triazine hydrolase,,trzN,,,2016,10.1186/s12866-016-0868-3,SUPPLEMENTED,A0A0F7GFR9,27821056,"Occurrence, diversity and community structure of culturable atrazine degraders in industrial and agricultural soils exposed to the herbicide in Shandong Province, P.R. China.",Imported from UniProt query 'gene:trzN AND (atrazine OR simazine)'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO
Atrazine / simazine,Nocardioides sp. CMU5,Gene Only + whole-cell/ Crude,Publication-linked enzyme record; manual verification required,Publication links gene evidence with whole-cell degradation.,,TrzN,,trzN,,,2007,10.1007/s00253-007-0871-6,SUPPLEMENTED,A0T2X1,17318536,Isolation and characterization of novel atrazine-degrading microorganisms from an agricultural soil.,Imported from UniProt query 'gene:trzN AND (atrazine OR simazine)'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO
Carbaryl,Lithobates clamitans (Green frog) (Rana clamitans),Gene Only,Publication-linked enzyme record; manual verification required,Conservative mapping: publication-linked record without clear purified or whole-cell activity wording.,,Sarcoplasmic/endoplasmic reticulum calcium ATPase 1,,ATP2A1,,,2013,10.1016/j.aquatox.2012.12.022,SUPPLEMENTED,M1R1X1,23399446,Specific time of exposure during tadpole development influences biological effects of the insecticide carbaryl in green frogs (Lithobates clamitans).,Imported from UniProt query 'carbaryl hydrolase'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO
Carbaryl,Arthrobacter sp. RC100,Gene Only,Gene cloning / sequence characterization,Direct mapping from supplemental label: Gene cloning / sequence characterization,Hydrolase,Carbaryl hydrolase,,cahA,,,2006,10.1263/jbb.101.410,SUPPLEMENTED,Q8GRB9,16781470,Cloning and nucleotide sequence of carbaryl hydrolase gene (cahA) from Arthrobacter sp. RC100.,Experimentally cloned carbaryl hydrolase gene; no RefSeq cross-reference in UniProt.,NO
Carbaryl,Rhizobium sp. AC100,Gene Only + whole-cell/ Crude,Gene sequence / degradation enzyme characterization,Direct mapping from supplemental label: Gene sequence / degradation enzyme characterization,Hydrolase,Carbaryl hydrolase,,cehA,,,2002,10.1128/AEM.68.3.1220-1227.2002,SUPPLEMENTED,Q8RR61,11872471,Nucleotide sequence and genetic structure of a novel carbaryl hydrolase gene (cehA) from Rhizobium sp. strain AC100.,Experimentally supported carbaryl hydrolase gene from degrader strain.,NO
Carbaryl,Rhizobium sp. AC100,Gene Only,Publication-linked enzyme record; manual verification required,Conservative mapping: publication-linked record without clear purified or whole-cell activity wording.,,Transposase,,istA,,,2002,10.1128/AEM.68.3.1220-1227.2002,SUPPLEMENTED,Q8RJ82,11872471,Nucleotide sequence and genetic structure of a novel carbaryl hydrolase gene (cehA) from Rhizobium sp. strain AC100.,Imported from UniProt query 'carbaryl hydrolase'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO
Carbaryl,Arthrobacter sp. RC100,Gene Only,Publication-linked enzyme record; manual verification required,Conservative mapping: publication-linked record without clear purified or whole-cell activity wording.,,Transposase helper protein,,istB,,,2006,10.1263/jbb.101.410,SUPPLEMENTED,Q8GRC0,16781470,Cloning and nucleotide sequence of carbaryl hydrolase gene (cahA) from Arthrobacter sp. RC100.,Imported from UniProt query 'carbaryl hydrolase'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO
Carbaryl,Rhizobium sp. AC100,Gene Only,Publication-linked enzyme record; manual verification required,Conservative mapping: publication-linked record without clear purified or whole-cell activity wording.,,Helper protein,,istB,,,2002,10.1128/AEM.68.3.1220-1227.2002,SUPPLEMENTED,Q8RJH5,11872471,Nucleotide sequence and genetic structure of a novel carbaryl hydrolase gene (cehA) from Rhizobium sp. strain AC100.,Imported from UniProt query 'carbaryl hydrolase'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO
Carbaryl,Rhizobium sp. AC100,Gene Only,Publication-linked enzyme record; manual verification required,Conservative mapping: publication-linked record without clear purified or whole-cell activity wording.,,OrfX protein,,orfX,,,2002,10.1128/AEM.68.3.1220-1227.2002,SUPPLEMENTED,Q8RR60,11872471,Nucleotide sequence and genetic structure of a novel carbaryl hydrolase gene (cehA) from Rhizobium sp. strain AC100.,Imported from UniProt query 'carbaryl hydrolase'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO
Chlorpyrifos / methyl parathion,Stenotrophomonas sp. YC-1,Gene Only + whole-cell/ Crude,Gene cloning / bioremediation study,Direct mapping from supplemental label: Gene cloning / bioremediation study,Hydrolase,Methyl parathion hydrolase,,mpd,,,2006,10.1111/j.1574-6968.2006.00478.x,SUPPLEMENTED,Q0PWQ4,17107423,Cloning of mpd gene from a chlorpyrifos-degrading bacterium and use of this strain in bioremediation of contaminated soil.,Experimentally linked mpd to chlorpyrifos-degrading bacterium; useful organophosphate supplement.,NO
Glyphosate,Rhizobium meliloti (strain 1021) (Ensifer meliloti) (Sinorhizobium meliloti),Gene Only,Publication-linked enzyme record; manual verification required,Conservative mapping: publication-linked record without clear purified or whole-cell activity wording.,Lyase,Alpha-D-ribose 1-methylphosphonate 5-phosphate C-P-lyase (PRPn C-P lyase) (EC 4.7.1.1),,phnJ,,WP_003530631.1,2001,10.1073/pnas.161294698,SUPPLEMENTED,Q52987,11481431; 11474104,"The complete sequence of the 1,683-kb pSymB megaplasmid from the N2-fixing endosymbiont Sinorhizobium meliloti.",Imported from UniProt query 'glyphosate C-P lyase phnJ'. UniProt reviewed status: reviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO
Glyphosate,Bacillus licheniformis,Gene Only,Publication-linked enzyme record; manual verification required,Publication primarily supplies genomic or gene-level evidence.,Oxidoreductase,Glycine oxidase (GO) (EC 1.4.3.19) (BliGO),,thiO,,WP_003180677.1,2016,10.1016/j.enzmictec.2015.12.012,SUPPLEMENTED,S5FMM4,26920475,"Characterization and directed evolution of BliGO, a novel glycine oxidase from Bacillus licheniformis.",Imported from UniProt query 'glyphosate oxidoreductase gox'. UniProt reviewed status: reviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO
Methyl parathion,Xanthomonas citri pv. citri (strain 306),Gene Only,Publication-linked enzyme record; manual verification required,Conservative mapping: publication-linked record without clear purified or whole-cell activity wording.,Hydrolase,Methyl parathion hydrolase,,mpd,,,2002,10.1038/417459a,SUPPLEMENTED,A0AAI7ZDC3,12024217,Comparison of the genomes of two Xanthomonas pathogens with differing host specificities.,Imported from UniProt query 'gene:mpd AND methyl parathion'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO
Methyl parathion,Stutzerimonas stutzeri (Pseudomonas stutzeri),Gene Only,Publication-linked enzyme record; manual verification required,Conservative mapping: publication-linked record without clear purified or whole-cell activity wording.,Hydrolase,Methyl parathion hydrolase (EC 3.1.8.1),,mpd,,,2014,10.1111/lam.12155,SUPPLEMENTED,H9ZVH5,24010722,Improving methyl parathion hydrolase to enhance its chlorpyrifos-hydrolysing efficiency.,Imported from UniProt query 'gene:mpd AND methyl parathion'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO
Methyl parathion,Chromobacterium violaceum (strain ATCC 12472 / DSM 30191 / JCM 1249 / CCUG 213 / NBRC 12614 / NCIMB 9131 / NCTC 9757 / MK),Gene Only,Publication-linked enzyme record; manual verification required,Publication primarily supplies genomic or gene-level evidence.,Hydrolase,Methyl parathion hydrolase (EC 3.5.-.-),,mpd,,WP_011133826.1,2003,10.1073/pnas.1832124100,SUPPLEMENTED,Q7P1E2,14500782,The complete genome sequence of Chromobacterium violaceum reveals remarkable and exploitable bacterial adaptability.,Imported from UniProt query 'gene:mpd AND methyl parathion'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO
Methyl parathion,Pseudomonas sp. (strain WBC-3),Gene Only + whole-cell/ Crude,Publication-linked enzyme record; manual verification required,Publication links gene evidence with whole-cell degradation.,Hydrolase,Methyl parathion hydrolase,,mpd,,,2005,10.1016/j.bbrc.2005.07.006,SUPPLEMENTED,Q841S6,16039612; 16181636; 19222584,Plasmid-borne catabolism of methyl parathion and p-nitrophenol in Pseudomonas sp. strain WBC-3.,Imported from UniProt query 'gene:mpd AND methyl parathion'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO
Methyl parathion,Plesiomonas sp. M6,Gene Only + whole-cell/ Crude,Gene cloning / degradation strain characterization,Direct mapping from supplemental label: Gene cloning / degradation strain characterization,Hydrolase,Methyl parathion hydrolase,,mpd,,,2001,10.1128/AEM.67.10.4922-4925.2001,SUPPLEMENTED,Q9ALW1,11571204,Isolation of methyl parathion-degrading strain M6 and cloning of the methyl parathion hydrolase gene.,Experimentally isolated methyl-parathion degrader and cloned hydrolase gene.,NO
Methyl parathion,Janthinobacterium agaricidamnosum NBRC 102515 = DSM 9628,Gene Only,Publication-linked enzyme record; manual verification required,Publication primarily supplies genomic or gene-level evidence.,Hydrolase,Methyl parathion hydrolase,,mpd,,WP_051780810.1,2015,10.1128/genomeA.00277-15,SUPPLEMENTED,W0V3V0,25883287,Genome Sequence of Mushroom Soft-Rot Pathogen Janthinobacterium agaricidamnosum.,Imported from UniProt query 'gene:mpd AND methyl parathion'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO
Methyl parathion,Janthinobacterium agaricidamnosum NBRC 102515 = DSM 9628,Gene Only,Publication-linked enzyme record; manual verification required,Publication primarily supplies genomic or gene-level evidence.,Hydrolase,Methyl parathion hydrolase,,mpd,,WP_038492674.1,2015,10.1128/genomeA.00277-15,SUPPLEMENTED,W0V7Q8,25883287,Genome Sequence of Mushroom Soft-Rot Pathogen Janthinobacterium agaricidamnosum.,Imported from UniProt query 'gene:mpd AND methyl parathion'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO
Methyl parathion,Janthinobacterium agaricidamnosum NBRC 102515 = DSM 9628,Gene Only,Publication-linked enzyme record; manual verification required,Publication primarily supplies genomic or gene-level evidence.,Hydrolase,Methyl parathion hydrolase,,mpd,,WP_038497753.1,2015,10.1128/genomeA.00277-15,SUPPLEMENTED,W0VDH8,25883287,Genome Sequence of Mushroom Soft-Rot Pathogen Janthinobacterium agaricidamnosum.,Imported from UniProt query 'gene:mpd AND methyl parathion'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO
Organophosphates,Pseudaminobacter sp. mp-1,Gene Only,Publication-linked enzyme record; manual verification required,Conservative mapping: publication-linked record without clear purified or whole-cell activity wording.,,Transposase,,,,,2005,10.1139/w05-010,SUPPLEMENTED,Q693X4,15980896,Diversity of organophosphorus pesticide-degrading bacteria in a polluted soil and conservation of their organophosphorus hydrolase genes.,Imported from UniProt query 'organophosphorus hydrolase pesticide'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO
Organophosphates,Rhizorhabdus wittichii (strain DC-6 / KACC 16600) (Sphingomonas wittichii),Gene Only,Publication-linked enzyme record; manual verification required,Conservative mapping: publication-linked record without clear purified or whole-cell activity wording.,Hydrolase,Dimethoate hydrolase,,dmhA,,,2016,10.1007/s10529-015-2027-6,SUPPLEMENTED,A0A067XIQ6,26721238; 39489725,A novel amidohydrolase (DmhA) from Sphingomonas sp. that can hydrolyze the organophosphorus pesticide dimethoate to dimethoate carboxylic acid and methylamine.,Imported from UniProt query 'organophosphorus hydrolase pesticide'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO
Organophosphates,Brucella sp. mp-7,Gene Only,Publication-linked enzyme record; manual verification required,Conservative mapping: publication-linked record without clear purified or whole-cell activity wording.,Hydrolase,Organophosphate pesticide hydrolase,,mpd,,,2005,10.1139/w05-010,SUPPLEMENTED,Q693W8,15980896,Diversity of organophosphorus pesticide-degrading bacteria in a polluted soil and conservation of their organophosphorus hydrolase genes.,Imported from UniProt query 'organophosphorus hydrolase pesticide'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO
Organophosphates,Ochrobactrum sp. mp-6,Gene Only,Publication-linked enzyme record; manual verification required,Conservative mapping: publication-linked record without clear purified or whole-cell activity wording.,Hydrolase,Organophosphate pesticide hydrolase,,mpd,,,2005,10.1139/w05-010,SUPPLEMENTED,Q693W9,15980896,Diversity of organophosphorus pesticide-degrading bacteria in a polluted soil and conservation of their organophosphorus hydrolase genes.,Imported from UniProt query 'organophosphorus hydrolase pesticide'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO
Organophosphates,Ochrobactrum sp. mp-5,Gene Only,Publication-linked enzyme record; manual verification required,Conservative mapping: publication-linked record without clear purified or whole-cell activity wording.,Hydrolase,Organophosphate pesticide hydrolase,,mpd,,,2005,10.1139/w05-010,SUPPLEMENTED,Q693X0,15980896,Diversity of organophosphorus pesticide-degrading bacteria in a polluted soil and conservation of their organophosphorus hydrolase genes.,Imported from UniProt query 'organophosphorus hydrolase pesticide'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO
Organophosphates,Ochrobactrum sp. mp-4,Gene Only,Publication-linked enzyme record; manual verification required,Conservative mapping: publication-linked record without clear purified or whole-cell activity wording.,Hydrolase,Organophosphate pesticide hydrolase,,mpd,,,2005,10.1139/w05-010,SUPPLEMENTED,Q693X1,15980896,Diversity of organophosphorus pesticide-degrading bacteria in a polluted soil and conservation of their organophosphorus hydrolase genes.,Imported from UniProt query 'organophosphorus hydrolase pesticide'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO
Organophosphates,Ochrobactrum sp. mp-3,Gene Only,Publication-linked enzyme record; manual verification required,Conservative mapping: publication-linked record without clear purified or whole-cell activity wording.,Hydrolase,Organophosphate pesticide hydrolase,,mpd,,,2005,10.1139/w05-010,SUPPLEMENTED,Q693X2,15980896,Diversity of organophosphorus pesticide-degrading bacteria in a polluted soil and conservation of their organophosphorus hydrolase genes.,Imported from UniProt query 'organophosphorus hydrolase pesticide'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO
Organophosphates,Achromobacter sp. mp-2,Gene Only,Publication-linked enzyme record; manual verification required,Conservative mapping: publication-linked record without clear purified or whole-cell activity wording.,Hydrolase,Organophosphate pesticide hydrolase,,mpd,,,2005,10.1139/w05-010,SUPPLEMENTED,Q693X3,15980896,Diversity of organophosphorus pesticide-degrading bacteria in a polluted soil and conservation of their organophosphorus hydrolase genes.,Imported from UniProt query 'organophosphorus hydrolase pesticide'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO
Organophosphates,Pseudaminobacter sp. mp-1,Gene Only,Publication-linked enzyme record; manual verification required,Conservative mapping: publication-linked record without clear purified or whole-cell activity wording.,Hydrolase,Organophosphate pesticide hydrolase,,mpd,,,2005,10.1139/w05-010,SUPPLEMENTED,Q693X5,15980896,Diversity of organophosphorus pesticide-degrading bacteria in a polluted soil and conservation of their organophosphorus hydrolase genes.,Imported from UniProt query 'organophosphorus hydrolase pesticide'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO
Parathion / organophosphates,Capillimicrobium parvum,Gene Only,Publication-linked enzyme record; manual verification required,Conservative mapping: publication-linked record without clear purified or whole-cell activity wording.,Hydrolase,Parathion hydrolase (EC 3.1.8.1),,opd,,WP_259310742.1,2022,10.1099/ijsem.0.005599,SUPPLEMENTED,A0A9E7C0Q4,36331109,"Pseudomonas aegrilactucae sp. nov. and Pseudomonas morbosilactucae sp. nov., pathogens causing bacterial rot of lettuce in Japan.",Imported from UniProt query 'gene:opd AND parathion'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO
Parathion / organophosphates,Nonomuraea coxensis DSM 45129,Gene Only,Publication-linked enzyme record; manual verification required,Conservative mapping: publication-linked record without clear purified or whole-cell activity wording.,Hydrolase,Parathion hydrolase (EC 3.1.8.1),,opd,,WP_026214863.1,2021,10.1021/acschembio.1c00170,SUPPLEMENTED,A0ABX8U9F3,33913701,Genomic-Led Discovery of a Novel Glycopeptide Antibiotic by Nonomuraea coxensis DSM 45129.,Imported from UniProt query 'gene:opd AND parathion'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO
Parathion / organophosphates,Brevundimonas diminuta (Pseudomonas diminuta),Gene Only,Publication-linked enzyme record; manual verification required,Conservative mapping: publication-linked record without clear purified or whole-cell activity wording.,Hydrolase,Parathion hydrolase (EC 3.1.8.1) (Phosphotriesterase),,opd,,,2011,10.1016/j.plasmid.2011.02.003,SUPPLEMENTED,G8DNV8,21354204,Indigenous organophosphate-degrading (opd) plasmid pCMS1 of Brevundimonasdiminuta is self-transmissible and plays a key role in horizontal mobility of the opd gene.,Imported from UniProt query 'gene:opd AND parathion'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO
Parathion / organophosphates,Solibacillus isronensis B3W22,Gene Only,Publication-linked enzyme record; manual verification required,Publication primarily supplies genomic or gene-level evidence.,Hydrolase,Parathion hydrolase (EC 3.1.8.1),,opd,,WP_008406101.1,2012,10.1128/JB.01651-12,SUPPLEMENTED,K1KRQ2,23144382,"Draft genome sequence of Bacillus isronensis strain B3W22, isolated from the upper atmosphere.",Imported from UniProt query 'gene:opd AND parathion'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO
Parathion / organophosphates,Sphingobium fuliginis (strain ATCC 27551),Gene Only,Publication-linked enzyme record; manual verification required,Conservative mapping: publication-linked record without clear purified or whole-cell activity wording.,Hydrolase,Parathion hydrolase (EC 3.1.8.1) (Phosphotriesterase) (PTE),,opd,,,1989,10.1128/jb.171.12.6740-6746.1989,SUPPLEMENTED,P0A433,2556372; 15369336,Parathion hydrolase specified by the Flavobacterium opd gene: relationship between the gene and protein.,Imported from UniProt query 'gene:opd AND parathion'. UniProt reviewed status: reviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO
Parathion / organophosphates,Brevundimonas diminuta (Pseudomonas diminuta),Gene Only,Publication-linked enzyme record; manual verification required,Conservative mapping: publication-linked record without clear purified or whole-cell activity wording.,Hydrolase,Parathion hydrolase (EC 3.1.8.1) (Phosphotriesterase) (PTE),,opd,,,1988,10.1128/jb.170.5.2306-2311.1988,SUPPLEMENTED,P0A434,2834339; 8155644; 7999757; 7794910; 8634243,Cloning and sequencing of a plasmid-borne gene (opd) encoding a phosphotriesterase.,Imported from UniProt query 'gene:opd AND parathion'. UniProt reviewed status: reviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO
Parathion / organophosphates,Sphingobium fuliginis (strain ATCC 27551),Gene Only,Publication-linked enzyme record; manual verification required,Publication primarily supplies genomic or gene-level evidence.,Hydrolase,Parathion hydrolase (EC 3.1.8.1) (Phosphotriesterase),,opd,,,2003,10.1128/AEM.69.5.2533-2539.2003,SUPPLEMENTED,Q8GC45,12732518,Transposon-like organization of the plasmid-borne organophosphate degradation (opd) gene cluster found in Flavobacterium sp.,Imported from UniProt query 'gene:opd AND parathion'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO
Parathion / organophosphates,Chryseobacterium balustinum,Gene Only,Publication-linked enzyme record; manual verification required,Publication primarily supplies genomic or gene-level evidence.,Hydrolase,Parathion hydrolase (EC 3.1.8.1) (Phosphotriesterase),,opd,,,2003,10.1128/AEM.69.5.2533-2539.2003,SUPPLEMENTED,Q8VLR0,12732518,Transposon-like organization of the plasmid-borne organophosphate degradation (opd) gene cluster found in Flavobacterium sp.,Imported from UniProt query 'gene:opd AND parathion'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO
Pyrethroids,Clostridium coskatii,Gene Only,Publication-linked enzyme record; manual verification required,Conservative mapping: publication-linked record without clear purified or whole-cell activity wording.,Hydrolase,Pyrethroid hydrolase (EC 3.1.1.88),,estP,,WP_063600294.1,2016,10.3389/fmicb.2016.01036,SUPPLEMENTED,A0A166U3S6,27458439,Industrial Acetogenic Biocatalysts: A Comparative Metabolic and Genomic Analysis.,Imported from UniProt query 'gene:estP pyrethroid hydrolase'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO
Pyrethroids,Methylobacterium dankookense,Gene Only,Publication-linked enzyme record; manual verification required,Publication primarily supplies genomic or gene-level evidence.,Hydrolase,Pyrethroid hydrolase,,pytH,,WP_144760423.1,2021,10.3389/fmicb.2021.740610,SUPPLEMENTED,A0A564FSI2,34737731,Comprehensive Comparative Genomics and Phenotyping of Methylobacterium Species.,Imported from UniProt query 'gene:pytH pyrethroid hydrolase'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO
Pyrethroids,Methylobacterium trifolii,Gene Only,Publication-linked enzyme record; manual verification required,Publication primarily supplies genomic or gene-level evidence.,Hydrolase,Pyrethroid hydrolase,,pytH,,WP_238183277.1,2021,10.3389/fmicb.2021.740610,SUPPLEMENTED,A0ABQ4U0I8,34737731,Comprehensive Comparative Genomics and Phenotyping of Methylobacterium Species.,Imported from UniProt query 'gene:pytH pyrethroid hydrolase'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.,NO
"2,4-D / chlorophenoxy herbicides",Tardiphaga robiniae,Gene Only,Publication-linked enzyme record; manual verification required,Conservative mapping: publication-linked record without clear purified or whole-cell activity wording.,Oxidoreductase,"2,4-dichlorophenoxyacetate dioxygenase",,A4A58_00905,,WP_068728962.1,,,SUPPLEMENTED,A0A164ANK5,,,"Imported from UniProt query '2,4-dichlorophenoxyacetate dioxygenase'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.",NO
"2,4-D / chlorophenoxy herbicides",Bradyrhizobium macuxiense,Gene Only,Publication-linked enzyme record; manual verification required,Conservative mapping: publication-linked record without clear purified or whole-cell activity wording.,Oxidoreductase,"2,4-dichlorophenoxyacetate dioxygenase",,AS156_32335,,WP_066502283.1,,,SUPPLEMENTED,A0A120FQV9,,,"Imported from UniProt query '2,4-dichlorophenoxyacetate dioxygenase'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.",NO
"2,4-D / chlorophenoxy herbicides",Bradyrhizobium neotropicale,Gene Only,Publication-linked enzyme record; manual verification required,Conservative mapping: publication-linked record without clear purified or whole-cell activity wording.,Oxidoreductase,"2,4-dichlorophenoxyacetate dioxygenase",,AXW67_39240,,WP_063677254.1,,,SUPPLEMENTED,A0A176ZEQ9,,,"Imported from UniProt query '2,4-dichlorophenoxyacetate dioxygenase'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.",NO
"2,4-D / chlorophenoxy herbicides",Bordetella genomosp. 2,Gene Only,Publication-linked enzyme record; manual verification required,Conservative mapping: publication-linked record without clear purified or whole-cell activity wording.,Oxidoreductase,"2,4-dichlorophenoxyacetate dioxygenase",,CAL24_18260,,WP_028352465.1,,,SUPPLEMENTED,A0A261VI05,,,"Imported from UniProt query '2,4-dichlorophenoxyacetate dioxygenase'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.",NO
"2,4-D / chlorophenoxy herbicides",Bradyrhizobium valentinum,Gene Only,Publication-linked enzyme record; manual verification required,Conservative mapping: publication-linked record without clear purified or whole-cell activity wording.,Oxidoreductase,"2,4-dichlorophenoxyacetate dioxygenase",,CP49_27530,,WP_057854527.1,,,SUPPLEMENTED,A0A0R3KD95,,,"Imported from UniProt query '2,4-dichlorophenoxyacetate dioxygenase'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.",NO
"2,4-D / chlorophenoxy herbicides",Bradyrhizobium jicamae,Gene Only,Publication-linked enzyme record; manual verification required,Conservative mapping: publication-linked record without clear purified or whole-cell activity wording.,Oxidoreductase,"2,4-dichlorophenoxyacetate dioxygenase",,CQ12_33835,,WP_057837409.1,,,SUPPLEMENTED,A0A0R3LG18,,,"Imported from UniProt query '2,4-dichlorophenoxyacetate dioxygenase'. UniProt reviewed status: unreviewed. Keep only if manual review confirms pesticide-degradation activity in the cited paper.",NO
