pesticide,microorganism,evidence_type,enzyme_class,reported_protein_name,pesticidedb_protein_id,gene_name,ncbi_accession,ncbi_protein_accession,year,doi,collection_category,uniprot_accession,pubmed_id,source_title,already_in_current_master_exact_accession
Atrazine,Bradyrhizobium iriomotense,Gene Only,Hydrolase,Cyanuric acid amidohydrolase (CAH) (EC 3.5.2.15),,atzD,,WP_284273864.1,2019,10.1099/ijsem.0.003276,SUPPLEMENTED,A0ABQ6B8S0,30832757,The Global Catalogue of Microorganisms (GCM) 10K type strain sequencing project: providing services to taxonomists for standard genome sequencing and annotation.,NO
Atrazine,Comamonas sp. A2,Gene Only,Hydrolase,Cyanuric acid amidohydrolase,,atzD,,,2010,10.1007/s10532-009-9284-9,SUPPLEMENTED,C7EY81,19603273,Atrazine degradation by a simple consortium of Klebsiella sp. A1 and Comamonas sp. A2 in nitrogen enriched medium.,NO
Atrazine,Pseudomonas sp. (strain ADP),Gene Only,Hydrolase,Cyanuric acid amidohydrolase (CAH) (EC 3.5.2.15),,atzD,,WP_011117191.1,2001,10.1128/JB.183.19.5684-5697.2001,SUPPLEMENTED,P58329,11544232; 21959051; 26868408; 12788776; 22730121; 23651355,Complete nucleotide sequence and organization of the atrazine catabolic plasmid pADP-1 from Pseudomonas sp. strain ADP.,NO
Atrazine,Pseudomonas aeruginosa,Gene Only + whole-cell/ Crude,Hydrolase,Biuret amidohydrolase,,atzE,,,2014,10.1007/s11356-014-3316-7,SUPPLEMENTED,A0A075T5U3,25035056,Isolation and characterization of a Pseudomonas aeruginosa from a virgin Brazilian Amazon region with potential to degrade atrazine.,NO
Atrazine,Pseudomonas sp. (strain ADP),Gene Only,Hydrolase,1-carboxybiuret hydrolase subunit AtzE (EC 3.5.1.131),,atzE,,WP_011117192.1,2001,10.1128/JB.183.19.5684-5697.2001,SUPPLEMENTED,Q936X3,11544232; 29523689,Complete nucleotide sequence and organization of the atrazine catabolic plasmid pADP-1 from Pseudomonas sp. strain ADP.,NO
Atrazine,Pseudomonas aeruginosa,Gene Only + whole-cell/ Crude,Hydrolase,Allophanate hydrolase,,atzF,,,2014,10.1007/s11356-014-3316-7,SUPPLEMENTED,A0A075T4Y4,25035056,Isolation and characterization of a Pseudomonas aeruginosa from a virgin Brazilian Amazon region with potential to degrade atrazine.,NO
Atrazine,Pseudomonas sp. (strain ADP),Gene Only,Hydrolase,Allophanate hydrolase (EC 3.5.1.54),,atzF,,WP_011117193.1,2001,10.1128/JB.183.19.5684-5697.2001,SUPPLEMENTED,Q936X2,11544232; 15901697,Complete nucleotide sequence and organization of the atrazine catabolic plasmid pADP-1 from Pseudomonas sp. strain ADP.,NO
Atrazine,Nocardioides sp. SP12,Gene Only + whole-cell/ Crude,Hydrolase,Atrazine hydrolase,,trzN,,,2003,10.1016/S0378-1097(03)00168-X,SUPPLEMENTED,Q83ZG4,12694918,"Isolation and characterisation of Nocardioides sp. SP12, an atrazine-degrading bacterial strain possessing the gene trzN from bulk- and maize rhizosphere soil.",NO
Atrazine / simazine,Arthrobacter sp. SD41,Gene Only + whole-cell/ Crude,Hydrolase,Triazine hydrolase,,trzN,,,2016,10.1186/s12866-016-0868-3,SUPPLEMENTED,A0A0F7GFR9,27821056,"Occurrence, diversity and community structure of culturable atrazine degraders in industrial and agricultural soils exposed to the herbicide in Shandong Province, P.R. China.",NO
Atrazine / simazine,Nocardioides sp. CMU5,Gene Only + whole-cell/ Crude,,TrzN,,trzN,,,2007,10.1007/s00253-007-0871-6,SUPPLEMENTED,A0T2X1,17318536,Isolation and characterization of novel atrazine-degrading microorganisms from an agricultural soil.,NO
